antecedents,consequents,as,cs,confidence,support,kluc,imb ratio,antecedent_len
"frozenset({'STREET', 'PM', 'PUBLIC PEACE VIOLATION'})",frozenset({'RECKLESS CONDUCT'}),0.0017477804060554022,0.004531651512387324,0.8807445671535447,0.0015393480972107118,0.6102163341401139,0.44389156710254335,3
"frozenset({'PM', 'SIDEWALK', 'RECKLESS CONDUCT'})",frozenset({'PUBLIC PEACE VIOLATION'}),0.0010169441924438851,0.0071891245344908,1.0,0.0010169441924438851,0.5707279577342803,0.7528189637107496,3
"frozenset({'AM', 'OTHER OFFENSE', 'AIRPORT TERMINAL UPPER LEVEL - SECURE AREA'})",frozenset({'OTHER WEAPONS VIOLATION'}),0.00020282845289367556,0.0011682483031212854,0.9424405218726017,0.000191153752995728,0.5530323861861344,0.7042543182694943,3
"frozenset({'AM', 'SCHOOL - PUBLIC - BUILDING', 'WEAPONS VIOLATION'})",frozenset({'UNLAWFUL USE OTHER DANG WEAPON'}),0.0004262043776077388,0.0011599981818600693,0.8261504747991234,0.0003521089489220983,0.5648465739535069,0.4627546362552987,3
"frozenset({'PM', 'SOLICIT FOR BUSINESS', 'STREET'})",frozenset({'PROSTITUTION'}),0.001160620832521293,0.009447322820084468,1.0,0.001160620832521293,0.5614259115849137,0.7819872127038432,3
"frozenset({'PM', 'CRIMINAL TRESPASS', 'CHA HALLWAY/STAIRWELL/ELEVATOR'})",frozenset({'TO STATE SUP LAND'}),0.0010040241912234898,0.005013271798843987,0.9238759689922481,0.0009275938225582599,0.5544518017972481,0.6668450651220168,3
"frozenset({'STREET', 'AM', 'HOMICIDE'})",frozenset({'FIRST DEGREE MURDER'}),0.00034432581565679995,0.001514753396092369,0.9923146473779385,0.0003416795503465985,0.6089412102371143,0.629750486788502,3
"frozenset({'STREET', 'AM', 'FIRST DEGREE MURDER'})",frozenset({'HOMICIDE'}),0.0003416795503465985,0.0015226921920229732,1.0,0.0003416795503465985,0.6121958699652423,0.633640963857838,3
"frozenset({'STREET', 'PM', 'HOMICIDE'})",frozenset({'FIRST DEGREE MURDER'}),0.0004090814844240824,0.001514753396092369,0.98896499238965,0.00040456726713020933,0.628024783729508,0.5749080490186059,3
"frozenset({'STREET', 'PM', 'FIRST DEGREE MURDER'})",frozenset({'HOMICIDE'}),0.00040456726713020933,0.0015226921920229732,1.0,0.00040456726713020933,0.6328460437538336,0.5803486565272827,3
"frozenset({'AM', 'Sonntag', 'HOMICIDE'})",frozenset({'FIRST DEGREE MURDER'}),0.00015986555726922854,0.001514753396092369,0.9951314508276533,0.0001590872439426987,0.5500783140480883,0.8091893304320585,3
"frozenset({'AM', 'Sonntag', 'FIRST DEGREE MURDER'})",frozenset({'HOMICIDE'}),0.0001590872439426987,0.0015226921920229732,1.0,0.0001590872439426987,0.5522388059701493,0.8109276155681033,3
"frozenset({'TO LAND', 'AIRPORT/AIRCRAFT', 'AM'})","frozenset({'CRIMINAL TRESPASS', ' OHARE ST'})",0.00010709591373050558,0.0002493715898201598,0.992732558139535,0.00010631760040397576,0.7095373152745116,0.39915654251157046,3
"frozenset({'TO LAND', ' OHARE ST', 'AM'})","frozenset({'CRIMINAL TRESPASS', 'AIRPORT/AIRCRAFT'})",0.00011207711902029654,0.0002384752032487421,0.9486111111111112,0.00010631760040397576,0.6972167827096026,0.36059587703643353,3
