antecedents,consequents,as,cs,confidence,support,kluc,imb ratio,antecedent_len
"frozenset({'21:00', 'FROM BUILDING'})",frozenset({'THEFT'}),0.0005556988905868577,0.24125667334828427,1.0,0.0005556988905868577,0.5011516756881262,0.9959560635336993,2
"frozenset({'21:00', 'FROM BUILDING'})",frozenset({'PM'}),0.0005556988905868577,0.6291384682557009,1.0,0.0005556988905868577,0.50044163480587,0.9987895561730644,2
"frozenset({'21:00', 'THEFT', 'FROM BUILDING'})",frozenset({'PM'}),0.0005556988905868577,0.6291384682557009,1.0,0.0005556988905868577,0.50044163480587,0.9987895561730644,3
"frozenset({'21:00', 'FROM BUILDING', 'PM'})",frozenset({'THEFT'}),0.0005556988905868577,0.24125667334828427,1.0,0.0005556988905868577,0.5011516756881262,0.9959560635336993,3
"frozenset({'21:00', 'FROM BUILDING'})","frozenset({'THEFT', 'PM'})",0.0005556988905868577,0.16199416516164883,1.0,0.0005556988905868577,0.5017151818092718,0.9937130445425995,2
"frozenset({'21:00', 'OVER $500'})",frozenset({'THEFT'}),0.0013455851707781768,0.24125667334828427,1.0,0.0013455851707781768,0.5027887004162485,0.9902321193759906,2
"frozenset({'21:00', 'OVER $500'})",frozenset({'PM'}),0.0013455851707781768,0.6291384682557009,1.0,0.0013455851707781768,0.5010693871370708,0.9970703603807175,2
"frozenset({'21:00', 'THEFT', 'OVER $500'})",frozenset({'PM'}),0.0013455851707781768,0.6291384682557009,1.0,0.0013455851707781768,0.5010693871370708,0.9970703603807175,3
"frozenset({'21:00', 'OVER $500', 'PM'})",frozenset({'THEFT'}),0.0013455851707781768,0.24125667334828427,1.0,0.0013455851707781768,0.5027887004162485,0.9902321193759906,3
"frozenset({'21:00', 'OVER $500'})","frozenset({'THEFT', 'PM'})",0.0013455851707781768,0.16199416516164883,1.0,0.0013455851707781768,0.5041531902381653,0.9848383612817317,2
"frozenset({'21:00', 'STREET', 'OVER $500'})",frozenset({'THEFT'}),0.0006747772242840415,0.24125667334828427,1.0,0.0006747772242840415,0.5013984633355818,0.9950913407903833,3
"frozenset({'21:00', 'STREET', 'OVER $500'})",frozenset({'PM'}),0.0006747772242840415,0.6291384682557009,1.0,0.0006747772242840415,0.5005362708356992,0.9985302784844532,3
"frozenset({'21:00', 'THEFT', 'STREET', 'OVER $500'})",frozenset({'PM'}),0.0006747772242840415,0.6291384682557009,1.0,0.0006747772242840415,0.5005362708356992,0.9985302784844532,4
"frozenset({'21:00', 'STREET', 'OVER $500', 'PM'})",frozenset({'THEFT'}),0.0006747772242840415,0.24125667334828427,1.0,0.0006747772242840415,0.5013984633355818,0.9950913407903833,4
"frozenset({'21:00', 'STREET', 'OVER $500'})","frozenset({'THEFT', 'PM'})",0.0006747772242840415,0.16199416516164883,1.0,0.0006747772242840415,0.5020827207684014,0.9923705260830034,3
"frozenset({'21:00', 'PARKING LOT/GARAGE(NON.RESID.)'})",frozenset({'PM'}),0.00042471272351995553,0.6291384682557009,1.0,0.00042471272351995553,0.5003375351730578,0.9990748036612448,2
"frozenset({'21:00', 'BURGLARY'})",frozenset({'PM'}),0.0006787465020739477,0.6291384682557009,1.0,0.0006787465020739477,0.5005394253700268,0.9985216365214592,2
"frozenset({'21:00', 'FORCIBLE ENTRY'})",frozenset({'BURGLARY'}),0.00043662055688967395,0.03708099311330303,1.0,0.00043662055688967395,0.5058873902804538,0.9771461797062677,2
"frozenset({'21:00', 'FORCIBLE ENTRY'})",frozenset({'PM'}),0.00043662055688967395,0.6291384682557009,1.0,0.00043662055688967395,0.5003469987760407,0.9990488702516437,2
"frozenset({'21:00', 'FORCIBLE ENTRY', 'BURGLARY'})",frozenset({'PM'}),0.00043662055688967395,0.6291384682557009,1.0,0.00043662055688967395,0.5003469987760407,0.9990488702516437,3
"frozenset({'21:00', 'FORCIBLE ENTRY', 'PM'})",frozenset({'BURGLARY'}),0.00043662055688967395,0.03708099311330303,1.0,0.00043662055688967395,0.5058873902804538,0.9771461797062677,3
"frozenset({'21:00', 'FORCIBLE ENTRY'})","frozenset({'BURGLARY', 'PM'})",0.00043662055688967395,0.02012423839482406,1.0,0.00043662055688967395,0.5108481262327416,0.9579383312216126,2
