antecedents,consequents,as,cs,confidence,support,kluc,imb ratio
"frozenset({'FROM BUILDING', 'Do', 'THEFT'})",frozenset({'PM'}),0.005684005795145573,0.6291384682557009,0.7178770949720671,0.004080417568023498,0.3621814087748501,0.9876561920887295
"frozenset({'FROM BUILDING', 'Do'})","frozenset({'PM', 'THEFT'})",0.005684005795145573,0.16199416516164883,0.7178770949720671,0.004080417568023498,0.3715328824855435,0.937350689573599
"frozenset({'FROM BUILDING', 'Do', 'AM'})",frozenset({'THEFT'}),0.0016035882271220752,0.24125667334828427,1.0,0.0016035882271220752,0.5033234069857356,0.9883686199594421
"frozenset({'FROM BUILDING', 'RESIDENCE'})",frozenset({'THEFT'}),0.004671839958719511,0.24125667334828427,1.0,0.004671839958719511,0.5096823020351755,0.9664357829418447
"frozenset({'FROM BUILDING', 'RESIDENCE', 'PM'})",frozenset({'THEFT'}),0.0027388016750352273,0.24125667334828427,1.0,0.0027388016750352273,0.5056761158914792,0.9802048423163021
"frozenset({'FROM BUILDING', 'RESIDENCE', 'Do'})",frozenset({'THEFT'}),0.0007025621688133844,0.24125667334828427,1.0,0.0007025621688133844,0.5014560471199881,0.9948896651376334
"frozenset({'FROM BUILDING', 'RESIDENCE', 'AM'})",frozenset({'THEFT'}),0.0019330382836842837,0.24125667334828427,1.0,0.0019330382836842837,0.5040061861436962,0.9859934442396083
"frozenset({'FROM BUILDING', 'Fr', 'RESIDENCE'})",frozenset({'THEFT'}),0.0007184392799730089,0.24125667334828427,1.0,0.0007184392799730089,0.501488952139649,0.994774437696504
"frozenset({'FROM BUILDING', 'Mo', 'RESIDENCE'})",frozenset({'THEFT'}),0.0007581320578720702,0.24125667334828427,1.0,0.0007581320578720702,0.5015712146888007,0.9944864193183105
"frozenset({'FROM BUILDING', 'RESIDENCE', 'Mi'})",frozenset({'THEFT'}),0.0006231766130152618,0.24125667334828427,1.0,0.0006231766130152618,0.5012915220216844,0.9954659746149582
"frozenset({'FROM BUILDING', 'RESIDENCE', 'Sa'})",frozenset({'THEFT'}),0.0006390537241748864,0.24125667334828427,1.0,0.0006390537241748864,0.5013244270413452,0.9953506897442131
"frozenset({'FROM BUILDING', 'RESIDENCE', 'Di'})",frozenset({'THEFT'}),0.0006311151685950741,0.24125667334828427,1.0,0.0006311151685950741,0.5013079745315148,0.9954083307433087
"frozenset({'FROM BUILDING', 'RESIDENCE', 'So'})",frozenset({'THEFT'}),0.0005993609462758251,0.24125667334828427,1.0,0.0005993609462758251,0.5012421644921933,0.9956389234673784
"frozenset({'FROM BUILDING', 'Mi'})",frozenset({'THEFT'}),0.005263262349415524,0.24125667334828427,1.0,0.005263262349415524,0.5109080140175384,0.9622559742928265
"frozenset({'FROM BUILDING', 'Mi'})",frozenset({'PM'}),0.005263262349415524,0.6291384682557009,0.7051282051282052,0.0037112747335622284,0.35551359216044837,0.9885670836153835
"frozenset({'FROM BUILDING', 'PM', 'Mi'})",frozenset({'THEFT'}),0.0037112747335622284,0.24125667334828427,1.0,0.0037112747335622284,0.5076915483457002,0.9732572183369897
"frozenset({'FROM BUILDING', 'Mi', 'THEFT'})",frozenset({'PM'}),0.005263262349415524,0.6291384682557009,0.7051282051282052,0.0037112747335622284,0.35551359216044837,0.9885670836153835
"frozenset({'FROM BUILDING', 'Mi'})","frozenset({'PM', 'THEFT'})",0.005263262349415524,0.16199416516164883,0.7051282051282052,0.0037112747335622284,0.36401906679031054,0.9418652205741816
"frozenset({'FROM BUILDING', 'Mi', 'APARTMENT'})",frozenset({'THEFT'}),0.0007859170024014131,0.24125667334828427,1.0,0.0007859170024014131,0.5016287984732071,0.9942848491333471
"frozenset({'FROM BUILDING', 'Mi', 'APARTMENT'})",frozenset({'PM'}),0.0007859170024014131,0.6291384682557009,0.6666666666666666,0.0005239446682676087,0.3337497318645821,0.9982883188001637
"frozenset({'FROM BUILDING', 'PM', 'Mi', 'APARTMENT'})",frozenset({'THEFT'}),0.0005239446682676087,0.24125667334828427,1.0,0.0005239446682676087,0.5010858656488048,0.9961867654699219
"frozenset({'FROM BUILDING', 'THEFT', 'Mi', 'APARTMENT'})",frozenset({'PM'}),0.0007859170024014131,0.6291384682557009,0.6666666666666666,0.0005239446682676087,0.3337497318645821,0.9982883188001637
"frozenset({'FROM BUILDING', 'Mi', 'APARTMENT'})","frozenset({'PM', 'THEFT'})",0.0007859170024014131,0.16199416516164883,0.6666666666666666,0.0005239446682676087,0.33495050475350385,0.9911189950706683
